minutes,fieldGoalsMade,fieldGoalsAttempted,fieldGoalsPercentage,threePointersMade,threePointersAttempted,threePointersPercentage,freeThrowsMade,freeThrowsAttempted,freeThrowsPercentage,reboundsOffensive,reboundsDefensive,reboundsTotal,assists,steals,blocks,turnovers,foulsPersonal,points,plusMinusPoints,teamName,Q
60:00,9,17,0.529,2,6,0.333,8,9,0.889,2,9,11,3,1,1,2,5,28,3.0,Nets,1
60:00,10,25,0.4,3,10,0.3,2,3,0.667,6,6,12,4,0,3,3,4,25,-3.0,Bucks,1
60:00,10,22,0.455,3,10,0.3,2,3,0.667,4,10,14,6,1,2,3,3,25,3.0,Nets,2
60:00,8,22,0.364,3,7,0.429,3,6,0.5,4,7,11,6,2,1,1,3,22,-3.0,Bucks,2
60:00,8,16,0.5,4,12,0.333,8,8,1.0,1,7,8,6,0,0,4,3,28,-7.0,Nets,3
60:00,13,26,0.5,6,11,0.545,3,3,1.0,4,7,11,6,3,0,0,7,35,7.0,Bucks,3
60:00,11,17,0.647,3,6,0.5,3,5,0.6,0,5,5,8,1,0,4,7,28,1.0,Nets,4
60:00,10,19,0.526,3,7,0.429,4,7,0.571,4,4,8,4,4,2,2,4,27,-1.0,Bucks,4
25:00,1,12,0.083,0,5,0.0,0,0,0.0,4,4,8,0,1,0,0,2,2,-4.0,Nets,5
25:00,2,6,0.333,0,1,0.0,2,2,1.0,0,6,6,0,0,1,1,2,6,4.0,Bucks,5
