,personId,firstName,familyName,nameI,playerSlug,position,comment,jerseyNum,statistics.minutes,statistics.fieldGoalsMade,statistics.fieldGoalsAttempted,statistics.fieldGoalsPercentage,statistics.threePointersMade,statistics.threePointersAttempted,statistics.threePointersPercentage,statistics.freeThrowsMade,statistics.freeThrowsAttempted,statistics.freeThrowsPercentage,statistics.reboundsOffensive,statistics.reboundsDefensive,statistics.reboundsTotal,statistics.assists,statistics.steals,statistics.blocks,statistics.turnovers,statistics.foulsPersonal,statistics.points,statistics.plusMinusPoints
0,200782,P.J.,Tucker,P. Tucker,pj-tucker,F,,,34:59,3,5,0.6,1,1,1.0,0,0,0.0,4,1,5,1,0,0,1,2,7,-5.0
1,203507,Giannis,Antetokounmpo,G. Antetokounmpo,giannis-antetokounmpo,F,,,40:08,15,22,0.682,1,5,0.2,11,18,0.611,4,8,12,4,1,3,3,3,42,3.0
2,201572,Brook,Lopez,B. Lopez,brook-lopez,C,,,27:57,4,10,0.4,0,2,0.0,0,0,0.0,3,6,9,0,2,2,0,2,8,-1.0
3,203114,Khris,Middleton,K. Middleton,khris-middleton,G,,,41:17,5,16,0.313,1,6,0.167,0,0,0.0,0,6,6,8,2,0,2,3,11,-15.0
4,201950,Jrue,Holiday,J. Holiday,jrue-holiday,G,,,39:25,7,21,0.333,1,3,0.333,2,3,0.667,2,3,5,7,2,2,1,4,17,-3.0
5,1626192,Pat,Connaughton,P. Connaughton,pat-connaughton,,,,33:33,5,10,0.5,4,9,0.444,0,0,0.0,4,3,7,1,0,0,2,3,14,-14.0
6,201952,Jeff,Teague,J. Teague,jeff-teague,,,,12:05,1,4,0.25,0,1,0.0,2,2,1.0,0,0,0,0,0,0,0,0,4,-3.0
7,1626171,Bobby,Portis,B. Portis,bobby-portis,,,,4:39,1,2,0.5,0,1,0.0,0,0,0.0,1,1,2,0,1,0,0,0,2,-5.0
8,1627854,Bryn,Forbes,B. Forbes,bryn-forbes,,,,5:39,1,3,0.333,1,3,0.333,0,0,0.0,0,0,0,0,0,0,0,0,3,-7.0
9,1629091,Elijah,Bryant,E. Bryant,elijah-bryant,,,,0:18,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0
