,Starters,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,+/-,PTS
,Bench,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,+/-,PTS
0,P.J. TuckerP.J. TuckerPF,38,4-9,3-5,0-0,4,1,5,0,3,2,0,6,-4,11
1,G. AntetokounmpoG. AntetokounmpoPF,50,15-24,2-6,8-14,2,11,13,5,0,1,3,3,+6,40
2,K. MiddletonK. MiddletonSF,52,9-26,2-7,3-3,4,6,10,6,5,0,3,2,+3,23
3,B. LopezB. LopezC,46,7-11,3-4,2-2,5,3,8,1,1,4,0,1,+2,19
4,J. HolidayJ. HolidayPG,48,5-23,2-9,1-2,2,5,7,8,0,0,1,5,+3,13
5,T. AntetokounmpoT. AntetokounmpoSF,1,0-0,0-0,0-0,0,1,1,0,0,0,0,1,-2,0
6,P. ConnaughtonP. ConnaughtonSG,23,3-5,3-5,0-0,1,3,4,0,0,0,0,2,+10,9
7,B. ForbesB. ForbesSG,5,0-0,0-0,0-0,0,0,0,0,0,0,0,0,+2,0
8,M. DiakiteM. DiakitePF,DNP-COACH'S DECISION,DNP-COACH'S DECISION,DNP-COACH'S DECISION,DNP-COACH'S DECISION,DNP-COACH'S DECISION,DNP-COACH'S DECISION,DNP-COACH'S DECISION,DNP-COACH'S DECISION,DNP-COACH'S DECISION,DNP-COACH'S DECISION,DNP-COACH'S DECISION,DNP-COACH'S DECISION,DNP-COACH'S DECISION,DNP-COACH'S DECISION
9,J. JacksonJ. JacksonSF,DNP-COACH'S DECISION,DNP-COACH'S DECISION,DNP-COACH'S DECISION,DNP-COACH'S DECISION,DNP-COACH'S DECISION,DNP-COACH'S DECISION,DNP-COACH'S DECISION,DNP-COACH'S DECISION,DNP-COACH'S DECISION,DNP-COACH'S DECISION,DNP-COACH'S DECISION,DNP-COACH'S DECISION,DNP-COACH'S DECISION,DNP-COACH'S DECISION
10,B. PortisB. PortisC,DNP-COACH'S DECISION,DNP-COACH'S DECISION,DNP-COACH'S DECISION,DNP-COACH'S DECISION,DNP-COACH'S DECISION,DNP-COACH'S DECISION,DNP-COACH'S DECISION,DNP-COACH'S DECISION,DNP-COACH'S DECISION,DNP-COACH'S DECISION,DNP-COACH'S DECISION,DNP-COACH'S DECISION,DNP-COACH'S DECISION,DNP-COACH'S DECISION
11,J. TeagueJ. TeaguePG,DNP-COACH'S DECISION,DNP-COACH'S DECISION,DNP-COACH'S DECISION,DNP-COACH'S DECISION,DNP-COACH'S DECISION,DNP-COACH'S DECISION,DNP-COACH'S DECISION,DNP-COACH'S DECISION,DNP-COACH'S DECISION,DNP-COACH'S DECISION,DNP-COACH'S DECISION,DNP-COACH'S DECISION,DNP-COACH'S DECISION,DNP-COACH'S DECISION
12,A. ToupaneA. ToupaneSG,DNP-COACH'S DECISION,DNP-COACH'S DECISION,DNP-COACH'S DECISION,DNP-COACH'S DECISION,DNP-COACH'S DECISION,DNP-COACH'S DECISION,DNP-COACH'S DECISION,DNP-COACH'S DECISION,DNP-COACH'S DECISION,DNP-COACH'S DECISION,DNP-COACH'S DECISION,DNP-COACH'S DECISION,DNP-COACH'S DECISION,DNP-COACH'S DECISION
13,S. MerrillS. MerrillSG,DNP-COACH'S DECISION,DNP-COACH'S DECISION,DNP-COACH'S DECISION,DNP-COACH'S DECISION,DNP-COACH'S DECISION,DNP-COACH'S DECISION,DNP-COACH'S DECISION,DNP-COACH'S DECISION,DNP-COACH'S DECISION,DNP-COACH'S DECISION,DNP-COACH'S DECISION,DNP-COACH'S DECISION,DNP-COACH'S DECISION,DNP-COACH'S DECISION
14,E. BryantE. BryantG,DNP-COACH'S DECISION,DNP-COACH'S DECISION,DNP-COACH'S DECISION,DNP-COACH'S DECISION,DNP-COACH'S DECISION,DNP-COACH'S DECISION,DNP-COACH'S DECISION,DNP-COACH'S DECISION,DNP-COACH'S DECISION,DNP-COACH'S DECISION,DNP-COACH'S DECISION,DNP-COACH'S DECISION,DNP-COACH'S DECISION,DNP-COACH'S DECISION
15,TEAM,,43-98,15-36,14-21,18,30,48,20,9,7,7,20,,115
16,,,43.9%,41.7%,66.7%,,,,,,,,,,
